,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1614,Fauna,Peixes Continentais,Loricariidae,Lamontichthys parakana,Criticamente em Perigo (CR),CR,Amazônia,Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,PA
1615,Flora,Angiospermas,Bromeliaceae,Lapanthus duartei,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Sim,3,Sim,MG
1616,Flora,Angiospermas,Fabaceae,Lathyrus acutifolius,Criticamente em Perigo (CR),CR,Pampa,Agropecuária,Sim,Sim,2,Não,RS
1617,Flora,Angiospermas,Fabaceae,Lathyrus paraguariensis,Vulnerável (VU),VU,"Mata Atlântica,Pampa","Agropecuária,Plantação de Madereiras",Sim,Não,2,Não,"PR,SC,RS"
1618,Fauna,Invertebrados Aquáticos,Latrunculiidae,Latrunculia (Biannulata) janeirensis,Vulnerável (VU),VU,Marinho,"Espécies Exóticas,Poluição",Sim,Sim,2,Sim,RJ
1619,Flora,Angiospermas,Melastomataceae,Lavoisiera cordata,Vulnerável (VU),VU,Cerrado,Espécies Invasoras,Sim,Sim,3,Sim,MG
1620,Flora,Angiospermas,Melastomataceae,Leandra hatschbachii,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
1621,Fauna,Peixes Continentais,Lebiasinidae,Lebiasina marilynae,Vulnerável (VU),VU,Amazônia,Outras Atividades Econômicas: energia,Não,Sim,1,Sim,PA
1622,Fauna,Peixes Continentais,Lebiasinidae,Lebiasina melanoguttata,Vulnerável (VU),VU,Amazônia,Outras Atividades Econômicas: energia,Não,Sim,1,Sim,PA
1623,Fauna,Peixes Continentais,Lebiasinidae,Lebiasina minuta,Vulnerável (VU),VU,Amazônia,Outras Atividades Econômicas: energia,Não,Sim,1,Sim,PA
1624,Flora,Angiospermas,Lecythidaceae,Lecythis schwackei,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,"MG,RJ"
1625,Flora,Angiospermas,Poaceae,Leersia ligularis,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Não,2,Não,"MG,PR,SC,SP"
1626,Flora,Angiospermas,Eriocaulaceae,Leiothrix echinocephala,Vulnerável (VU),VU,Cerrado,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,MG
1627,Flora,Pteridófitas,Polypodiaceae,Lellingeria brasiliensis,Vulnerável (VU),VU,Mata Atlântica,"Assentamento Humano: cidades,Queimadas,Desastres Naturais",Sim,Não,2,Sim,"MG,RJ,SP"
1628,Flora,Pteridófitas,Polypodiaceae,Lellingeria itatimensis,Criticamente em Perigo (CR),CR,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Informação não disponível,"PR,RS,SP"
