,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2614,Fauna,Mamíferos,Felidae,VU,Caatinga,"Agropecuária,Extração Florestal,Mineração,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,5,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2614,Fauna,Mamíferos,Felidae,VU,Cerrado,"Agropecuária,Extração Florestal,Mineração,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,5,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2614,Fauna,Mamíferos,Felidae,VU,Mata Atlântica,"Agropecuária,Extração Florestal,Mineração,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,5,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2614,Fauna,Mamíferos,Felidae,VU,Pantanal,"Agropecuária,Extração Florestal,Mineração,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,5,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2615,Fauna,Mamíferos,Felidae,VU,Amazônia,Agropecuária,Sim,Sim,4,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2615,Fauna,Mamíferos,Felidae,VU,Caatinga,Agropecuária,Sim,Sim,4,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2615,Fauna,Mamíferos,Felidae,VU,Cerrado,Agropecuária,Sim,Sim,4,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2615,Fauna,Mamíferos,Felidae,VU,Mata Atlântica,Agropecuária,Sim,Sim,4,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2615,Fauna,Mamíferos,Felidae,VU,Pampa,Agropecuária,Sim,Sim,4,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2615,Fauna,Mamíferos,Felidae,VU,Pantanal,Agropecuária,Sim,Sim,4,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2616,Fauna,Aves,Thamnophilidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Sim,2,Sim,"BA,SE"
2617,Fauna,Aves,Thamnophilidae,VU,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,"AL,PB,PE"
2618,Fauna,Aves,Psittacidae,VU,Amazônia,Agropecuária,Sim,Sim,5,Sim,"AM,MA,PA,TO"
2619,Fauna,Aves,Psittacidae,VU,Caatinga,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca",Sim,Sim,4,Sim,"BA,ES,MG,RJ,SP"
2619,Fauna,Aves,Psittacidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca",Sim,Sim,4,Sim,"BA,ES,MG,RJ,SP"
2620,Fauna,Aves,Psittacidae,EN,Caatinga,"Assentamento Humano: cidades,Espécies Exóticas,Caça/Pesca",Sim,Sim,4,Sim,"AL,CE,PB,PE,RN"
2620,Fauna,Aves,Psittacidae,EN,Mata Atlântica,"Assentamento Humano: cidades,Espécies Exóticas,Caça/Pesca",Sim,Sim,4,Sim,"AL,CE,PB,PE,RN"
2621,Fauna,Aves,Psittacidae,VU,Amazônia,"Agropecuária,Extração Florestal",Sim,Sim,4,Sim,"MA,MT,PA,TO"
2621,Fauna,Aves,Psittacidae,VU,Cerrado,"Agropecuária,Extração Florestal",Sim,Sim,4,Sim,"MA,MT,PA,TO"
2622,Fauna,Aves,Psittacidae,VU,Amazônia,Agropecuária,Sim,Sim,4,Sim,"MA,MT,PA,TO"
2622,Fauna,Aves,Psittacidae,VU,Cerrado,Agropecuária,Sim,Sim,4,Sim,"MA,MT,PA,TO"
2623,Fauna,Aves,Psittacidae,VU,Mata Atlântica,"Caça/Pesca,Extração Florestal",Sim,Sim,4,Não,"BA,ES,MG,RJ"
2624,Fauna,Aves,Psittacidae,EN,Cerrado,"Agropecuária,Extração Florestal,Queimadas",Sim,Sim,3,Sim,"BA,GO,TO"
2625,Flora,Angiospermas,Vochysiaceae,VU,Amazônia,Vazio,Sim,Não,1,Sim,"MA,PA"
2626,Flora,Angiospermas,Vochysiaceae,EN,Mata Atlântica,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,ES
2627,Flora,Angiospermas,Amaranthaceae,EN,Cerrado,"Mineração,Extração Direta",Sim,Não,2,Sim,"DF,PR,RS,SP"
2627,Flora,Angiospermas,Amaranthaceae,EN,Mata Atlântica,"Mineração,Extração Direta",Sim,Não,2,Sim,"DF,PR,RS,SP"
2627,Flora,Angiospermas,Amaranthaceae,EN,Pampa,"Mineração,Extração Direta",Sim,Não,2,Sim,"DF,PR,RS,SP"
2628,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,MG"
2629,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Sim,2,Sim,RJ
2630,Flora,Angiospermas,Quillajaceae,EN,Mata Atlântica,Agropecuária,Sim,Sim,2,Não,"PR,RS,SC,SP"
2630,Flora,Angiospermas,Quillajaceae,EN,Pampa,Agropecuária,Sim,Sim,2,Não,"PR,RS,SC,SP"
2631,Fauna,Invertebrados Aquáticos,Spongillidae,CR,Caatinga,"Turismo/Recreação,Poluição",Sim,Não,3,Sim,BA
2631,Fauna,Invertebrados Aquáticos,Spongillidae,CR,Mata Atlântica,"Turismo/Recreação,Poluição",Sim,Não,3,Sim,BA
2632,Fauna,Peixes Continentais,Characidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,"PR,SC,SP"
2633,Fauna,Peixes Continentais,Characidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Barragens,Abastecimento/Drenagem",Sim,Sim,2,Sim,"BA,ES"
2634,Flora,Angiospermas,Poaceae,CR,Mata Atlântica,Vazio,Sim,Não,2,Sim,"BA,CE,PE,RJ,SE"
2635,Flora,Angiospermas,Poaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,BA
2636,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"BA,ES,RJ"
2637,Flora,Angiospermas,Rutaceae,VU,Mata Atlântica,Barragens,Sim,Não,2,Sim,SC
2638,Flora,Angiospermas,Verbenaceae,EN,Mata Atlântica,Vazio,Sim,Sim,2,Sim,"SC,RS"
2639,Flora,Pteridófitas,Marsileaceae,VU,Pampa,Agropecuária,Sim,Sim,2,Informação não disponível,RS
2640,Flora,Angiospermas,Poaceae,VU,Mata Atlântica,Vazio,Sim,Sim,2,Sim,"RS,SC,SP"
2641,Flora,Angiospermas,Zingiberaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG,SC"
2642,Fauna,Peixes Continentais,Heptapteridae,VU,Cerrado,"Mineração,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,MG
2642,Fauna,Peixes Continentais,Heptapteridae,VU,Mata Atlântica,"Mineração,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,MG
2643,Fauna,Peixes Continentais,Heptapteridae,VU,Cerrado,"Agropecuária,Turismo/Recreação",Sim,Não,2,Sim,BA
2644,Flora,Angiospermas,Rhamnaceae,VU,Cerrado,Vazio,Sim,Não,2,Informação não disponível,"MS,PR,RJ,RS,SC,SP"
2644,Flora,Angiospermas,Rhamnaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,"MS,PR,RJ,RS,SC,SP"
2645,Fauna,Aves,Thamnophilidae,VU,Amazônia,Extração Florestal,Sim,Sim,4,Sim,"MT,PA"
2646,Fauna,Peixes Marinhos,Rhincodontidae,VU,Marinho,Caça/Pesca,Sim,Sim,3,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,RJ,RN,SE"
2647,Fauna,Peixes Marinhos,Rhinobatidae,CR,Marinho,"Caça/Pesca,Poluição",Sim,Sim,2,Não,"ES,PR,RJ,RS,SC,SP"
2648,Fauna,Peixes Marinhos,Rhinobatidae,VU,Marinho,Caça/Pesca,Sim,Sim,2,Não,"AP,MA,PA"
2649,Fauna,Peixes Continentais,Characidae,EN,Amazônia,Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,"MT,PA"
