,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais_ameacas,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados_de_ocorrencia
16,Flora,Angiospermas,Asteraceae,EN,Pampa,Queimadas,Sim,Não,2,Não,PR
16,Flora,Angiospermas,Asteraceae,EN,Pampa,Queimadas,Sim,Não,2,Não,RS
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,Queimadas,Sim,Não,2,Sim,BA
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,Extração de Madeira,Sim,Não,2,Sim,BA
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,Assentamento Humano: cidades,Sim,Não,2,Sim,BA
18,Flora,Angiospermas,Asteraceae,EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
19,Flora,Angiospermas,Asteraceae,VU,Caatinga,Vazio,Sim,Sim,2,Informação não disponível,MG
19,Flora,Angiospermas,Asteraceae,VU,Cerrado,Vazio,Sim,Sim,2,Informação não disponível,MG
20,Flora,Angiospermas,Asteraceae,CR,Caatinga,Queimadas,Não,Não,1,Sim,BA
21,Fauna,Aves,Furnariidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
21,Fauna,Aves,Furnariidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,MG
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,GO
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,MS
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,MG
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,SP
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,PR
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Queimadas,Sim,Não,2,Informação não disponível,GO
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Queimadas,Sim,Não,2,Informação não disponível,MS
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Queimadas,Sim,Não,2,Informação não disponível,MG
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Queimadas,Sim,Não,2,Informação não disponível,SP
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Queimadas,Sim,Não,2,Informação não disponível,PR
22,Flora,Angiospermas,Arecaceae,VU,Cerrado, Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,GO
22,Flora,Angiospermas,Arecaceae,VU,Cerrado, Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,MS
22,Flora,Angiospermas,Arecaceae,VU,Cerrado, Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,MG
22,Flora,Angiospermas,Arecaceae,VU,Cerrado, Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,SP
22,Flora,Angiospermas,Arecaceae,VU,Cerrado, Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,PR
23,Flora,Angiospermas,Eriocaulaceae,CR,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,MG
23,Flora,Angiospermas,Eriocaulaceae,CR,Cerrado,Agropecuária,Sim,Sim,2,Sim,MG
24,Flora,Angiospermas,Eriocaulaceae,VU,Cerrado,Agropecuária,Sim,Sim,2,Sim,MG
24,Flora,Angiospermas,Eriocaulaceae,VU,Cerrado, Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,MG
25,Fauna,Invertebrados Terrestres,Nymphalidae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Sim,RJ
25,Fauna,Invertebrados Terrestres,Nymphalidae,VU,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,3,Sim,RJ
26,Fauna,Invertebrados Terrestres,Nymphalidae,CR,Mata Atlântica,Poluição,Sim,Sim,2,Sim,SP
27,Flora,Angiospermas,Orchidaceae,CR,Caatinga,Vazio,Sim,Não,3,Sim,BA
28,Fauna,Invertebrados Terrestres,Baetidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
29,Fauna,Anfíbios,Eleutherodactylidae,VU,Caatinga,Agropecuária,Não,Sim,2,Sim,CE
29,Fauna,Anfíbios,Eleutherodactylidae,VU,Caatinga,Assentamento Humano: cidades,Não,Sim,2,Sim,CE
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Extração para Combustível,Sim,Não,2,Sim,PI
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Extração para Combustível,Sim,Não,2,Sim,CE
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Extração para Combustível,Sim,Não,2,Sim,MG
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Extração para Combustível,Sim,Não,2,Sim,BA
